angle,ppos,pvel
0,50,0
1,49.99162329101364,1001.1519813501133
2,49.96649640450778,2001.9166815799128
3,49.924629060048346,3001.9070340773633
4,49.86603745092941,4000.7364010819265
5,49.79074423520706,4998.0187876977525
6,49.69877852315369,5993.369055412054
7,49.59017586114635,6986.4031349541365
8,49.46497821199898,7976.73823833092
9,49.32323393175443,8963.993069875238
10,49.1649977429546,9947.788036143738
11,48.990330704409644,10927.745454501868
12,48.79930017748757,11903.489760234084
13,48.591979788952244,12874.647712018434
14,48.36844939037826,13840.848595605336
15,48.12879501417342,14801.72442554166
16,47.87310882624206,15756.910144782267
17,47.60148907532903,16706.043822032272
18,47.314040039079714,17648.76684666501
19,47.01087196686001,18584.724121061772
20,46.69210101938154,19513.56425022121
21,46.35784920517631,20434.939728488105
22,46.00824431397314,21348.50712325267
23,45.6434198470256,22253.927255474086
24,45.26351494444759,23150.86537688345
25,44.86867430961172,24038.99134372426
26,44.45904813067057,24917.97978689019
27,44.0347919992621,25787.510278323167
28,43.59606682646313,26647.267493536874
29,43.14303875605583,27496.941370133896
30,42.675879075176454,28336.22726218778
31,42.1947641224167,29164.826090364128
32,41.69987519344852,29982.444487658344
33,41.19139844424876,30788.794940631124
34,40.669524791997674,31583.595926026275
35,40.13444981373186,32366.572042659223
36,39.58637364283027,33137.45413846864
37,39.02550086341466,33895.97943262761
38,38.45204040275007,34641.89163261508
39,37.866205421727614,35374.941046152664
40,37.268213203518826,36094.88468791675
41,36.658285040488295,36801.48638094028
42,36.03664611945419,37494.51685262374
43,35.40352540538845,38173.75382527991
44,34.759155523647564,38838.98210114224
45,34.1037726408274,39489.993641771965
46,33.43761634433781,40126.587641804785
47,32.76092952078898,40748.57059698369
48,32.07395823328909,41355.75636643017
49,31.37695159774796,41947.96622911208
50,30.670161658284428,42525.0289344728
51,29.953843261835686,43086.78074719213
52,29.228253932066423,43633.06548605632
53,28.49365374267836,44163.734556920295
54,27.750305190215954,44678.646979752535
55,26.998473066469955,45177.66940975933
56,26.23842433057723,45660.67615259165
57,25.470427980914906,46127.5491736452
58,24.694754926888777,46578.17810147081
59,23.911677860713326,47012.46022531903
60,23.121471129281872,47430.300486850465
61,22.324410606224205,47831.61146604933
62,21.520773564247747,48216.31336138575
63,20.710838547858657,48584.333964278594
64,19.894885246557237,48935.608627917914
65,19.073194368602685,49270.08023051298
66,18.246047515437454,49587.69913303877
67,17.413727056866037,49888.4231315606
68,16.576516007074247,50172.217404223404
69,15.734697901581399,50439.0544529989
70,14.888556675209315,50688.91404029023
71,14.038376541154435,50921.78312050048
72,13.184441871247486,51137.655766677526
73,12.327037077479645,51336.533092354
74,11.466446494876607,51518.423168707064
75,10.602954265797393,51683.34093716862
76,9.736844225732,51831.30811762244
77,8.868399790671504,51962.35311232946
78,7.997903846120664,52076.51090572877
79,7.125638637820373,52173.822960265796
80,6.251885664245549,52254.3371084047
81,5.376925570941239,52318.10744098609
82,4.501038046755525,52365.194192095536
83,3.624501722027844,52395.66362061248
84,2.7475940687851903,52409.587888612405
85,1.8705913029990597,52407.0449367991
86,0.9937682889497523,52388.118357146275
87,0.11739844574407243,52352.897262931285
88,-0.758246343971166,52301.4761563453
89,-1.6328958230621424,52233.954793867335
90,-2.506281446690025,52150.43804959057
91,-3.3781364667905223,52051.03577669127
92,-4.248196014221264,51935.86266723158
93,-5.116197178550294,51805.03811048843
94,-5.981879085462822,51658.68605000095
95,-6.84498297176674,51496.934839529225
96,-7.705252257980135,51319.91709811667
97,-8.562432618486923,51127.76956444811
98,-9.416272049251006,50920.63295069438
99,-10.266520933081893,50698.65179603319
100,-11.112932102447473,50461.97432003459
101,-11.955260899834116,50210.75227609716
102,-12.79326523565527,49945.140805119205
103,-13.626705643714956,49665.29828958647
104,-14.455345334234778,49371.38620825525
105,-15.278950244454677,49063.568991606655
106,-16.09728908682331,48742.013878244274
107,-16.91013339479406,48406.89077240422
108,-17.717257566247213,48058.372102742134
109,-18.518438904561208,47696.632682558105
110,-19.31345765735756,47321.84957161561
111,-20.10209705294858,46934.20193970642
112,-20.88414333451692,46533.87093210828
113,-21.659385792061357,46121.03953707728
114,-22.427616792142544,45695.89245551188
115,-23.18863180546731,45258.6159729197
116,-23.942229432350473,44809.39783381318
117,-24.688211426096075,44348.42711865441
118,-25.426382714341287,43875.894123463426
119,-26.156551418409435,43391.99024219888
120,-26.878528870718128,42896.90785201359
121,-27.592129630292106,42390.84020148152
122,-28.2971714964317,41873.98130188705
123,-28.993475520587822,41346.52582166035
124,-29.680866016497475,40808.66898403765
125,-30.35917056863468,40260.60646801775
126,-31.02822003903134,39702.53431268078
127,-31.687848572526434,39134.64882492873
128,-32.3378936004994,38557.14649070074
129,-32.97819584314806,37970.22388971039
130,-33.60859931036947,37374.07761374595
131,-34.22895130130274,36768.904188568275
132,-34.83910240259672,36154.899999435125
133,-35.438906485460905,35532.26122027491
134,-36.02822070156191,34901.18374652657
135,-36.6069054778273,34261.863131656915
136,-37.17482451021755,33614.494527360715
137,-37.73184475652863,32959.272627443475
138,-38.27783642828524,32296.391615381475
139,-38.81267298178892,31626.045115547713
140,-39.33623110837891,30948.4261480878
141,-39.84839072396949,30263.727087424653
142,-40.34903495792207,29572.13962436548
143,-40.838050141314625,28873.85473178002
144,-41.31532579466449,28169.062633814534
145,-41.780754615167325,27457.952778601088
146,-42.23423246350649,26740.713814417453
147,-42.67565835029359,26017.5335692488
148,-43.10493442219405,25288.599033698396
149,-43.52196594779457,24554.096347190218
150,-43.92666130326745,23814.210787402782
151,-44.31893195788376,23069.126762870375
152,-44.69869245942954,22319.02780868326
153,-45.06586041957462,21564.096585216634
154,-45.42035649924617,20804.514879813334
155,-45.76210439405327,20040.46361134374
156,-46.09103081981249,19272.12283756244
157,-46.40706549821846,18499.671765178886
158,-46.71014114270554,17723.288762556705
159,-47.00019344454381,16943.151374953875
160,-47.27716105920928,16159.436342213547
161,-47.54098559307164,15372.319618813191
162,-47.79161159043565,14581.976396177739
163,-48.02898652097451,13788.581127160278
164,-48.253060767589886,12992.307552592474
165,-48.46378761473346,12193.328729804742
166,-48.661123237221375,11391.817063014645
167,-48.845026689571284,10587.944335481201
168,-49.01545989589306,9781.881743320286
169,-49.1723876403567,8973.799930876368
170,-49.31577755826618,8163.869027543371
171,-49.445600127759405,7352.258685927572
172,-49.561828662158064,6539.138121243689
173,-49.66443930298584,5724.676151834713
174,-49.753411013673656,4909.04124070529
175,-49.82872557396752,4092.4015379578486
176,-49.890367575053006,3274.9249240198797
177,-49.938324415409056,2456.7790535501063
178,-49.97258629740173,1638.1313999114295
179,-49.99314622462555,819.1493000975423
180,-50,5.747928032840709E-12
sjdflkjahsldkf
